Name,Personal_CIK,Company_CIK,Bio,Link,StockTicker,shares,SharePrice
None_Name87,None_CIK87,1041061,"Ms. Doniz is a current adviser to the Center of Digital Transformation at the University of California, Irvine, Paul Merage School of Business.",https://www.sec.gov/Archives/edgar/data/1041061/000119312524088443/d607499ddef14a.htm,non_ticker,0.0,non_stock_price
GERACE JOHN D.,1900783,1401708,"He currently serves on the boards of directors for the Iacocca Family Foundation, The UC Irvine Foundation, and University Lab Partners.",https://www.sec.gov/Archives/edgar/data/1401708/000140170823000096/nstg-20230427.htm,NSTG,20943.0,9.74
Robichaud Albert,1612861,1597553,"Dr. Robichaud earned a B.S. in chemistry from Rensselaer Polytechnic Institute, a Ph.D. in organic chemistry from the University of California, Irvine and was an American Chemical Society postdoctoral fellow at Colorado State University.77Table of ContentsLaura Gault, M.D., Ph.D. Dr. Gault has served as our Chief Medical Officer since October 2022.",https://www.sec.gov/Archives/edgar/data/1597553/000119312523122119/d265889ddef14a.htm,SAGE,146680.0,45.11
None_Name88,None_CIK88,1453593,"Mr. Beeson holds a Bachelor of Science degree from the University of California, Irvine, and a Juris Doctorfrom the University of Pennsylvania.",https://www.sec.gov/Archives/edgar/data/1453593/000149315223020490/formdef14a.htm,non_ticker,0.0,non_stock_price
None_Name89,None_CIK89,718937,"He earned a bachelor’s degree in physics from California State University, Fullerton and completed core graduate studies in biochemistry at the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/718937/000095017023014790/staa-20230426.htm,non_ticker,0.0,non_stock_price
None_Name90,None_CIK90,1302028,,https://www.sec.gov/Archives/edgar/data/1302028/000095017024049961/proxy_mntx-def14a_2024_l.htm,non_ticker,0.0,non_stock_price
None_Name91,None_CIK91,1302028,,https://www.sec.gov/Archives/edgar/data/1302028/000095017023013762/mntx-def14a_2023.htm,non_ticker,0.0,non_stock_price
None_Name92,None_CIK92,860730,,https://www.sec.gov/Archives/edgar/data/860730/000119312524069180/d874659ddef14a.htm,non_ticker,0.0,non_stock_price
White Nicole S,1993254,1426800,"Nicole received a B.S. in Chemistry from the University of California, San Diego and a Ph.D. in Organic Chemistry from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1426800/000095017024045105/asmb-20240416.htm,ASMB,12853.0,15.08
None_Name93,None_CIK93,1706946,,https://www.sec.gov/Archives/edgar/data/1706946/000130817923000771/spce_courtesy-pdf.pdf,non_ticker,0.0,non_stock_price
Colglazier Michael A,1817756,1706946,"He is currently Chairman of the CEO Roundtable for the University of California, Irvine, and a member of the Engineering Advisory Board of Rice University.",https://www.sec.gov/Archives/edgar/data/1706946/000130817923000771/spce4161051-def14a.htm,SPCE,817359.0,1.00
None_Name94,None_CIK94,1706946,,https://www.sec.gov/Archives/edgar/data/1706946/000130817924000617/spce_courtesy-pdf.pdf,non_ticker,0.0,non_stock_price
None_Name95,None_CIK95,1078075,,https://www.sec.gov/Archives/edgar/data/1078075/000119312523196100/d501395ddef14a.htm,non_ticker,0.0,non_stock_price
Inrig Jula,1902368,1438533,"Dr. Inrig is board certified in nephrology and internal medicine and has served on the faculty at the University of California, Irvine, and as an adjunct in the Department of Medicine at the Duke University School of Medicine.",https://www.sec.gov/Archives/edgar/data/1438533/000143853324000012/tvtx-20240327.htm,TVTX,60248.0,8.49
Ajer Jeffrey Robert,1557533,1048477,"Mr. Ajer holds both a B.S. in Chemistry and an M.B.A. from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1048477/000104847724000058/bmrn-20240408.htm,BMRN,71767.0,82.10
None_Name96,None_CIK96,1048477,,https://www.sec.gov/Archives/edgar/data/1048477/000130817923000635/bmrn_courtesy-pdf.pdf,non_ticker,0.0,non_stock_price
None_Name97,None_CIK97,1860742,,https://www.sec.gov/Archives/edgar/data/1860742/000130817923000138/blco_courtesy-pdf.pdf,non_ticker,0.0,non_stock_price
Hashad Yehia,1877701,1860742,"He previously served on the boards of Applied Genetic Technologies Corporation, a publicly traded clinical-stage biotechnology company, the Glaucoma Research Foundation and the National Alliance of Eye and Vision Research and as board adviser for the University of California Irvine Research Center.",https://www.sec.gov/Archives/edgar/data/1860742/000130817923000138/blco4122781-def14a.htm,BLCO,102271.0,16.54
None_Name98,None_CIK98,1860742,,https://www.sec.gov/Archives/edgar/data/1860742/000130817924000628/lblco2024_def14a-courtesy.pdf,non_ticker,0.0,non_stock_price
